iso_3,year,sentiment,amount_of_time_spent_on_climate,Annual COâ‚‚ emissions (per capita),Anual co2 per capita shifted,Change co2
BFA,2014,0.76,0.023255813953488372,0.16023737,0.19847102,-0.03823365000000001
BFA,2015,0.65045,0.14285714285714285,0.19847102,0.20253624,-0.004065220000000008
BFA,2016,0.52945,0.11764705882352941,0.20253624,0.22782168,-0.025285439999999992
BFA,2017,0.9349,0.047619047619047616,0.22782168,0.24262862,-0.01480693999999999
BFA,2018,0.9831,0.037037037037037035,0.24262862,0.25278836,-0.01015974
BFA,2019,-0.004299999999999989,0.2222222222222222,0.25278836,0.25038716,0.0024011999999999922
BFA,2020,0.39515,0.046511627906976744,0.25038716,0.25783187,-0.007444710000000021
BFA,2021,-0.01762857142857143,0.14583333333333334,0.25783187,0.003901299,0.253930571
BGD,2013,0.78438,0.1724137931034483,0.40121356,0.42323962,-0.02202605999999996
BGD,2014,0.38408333333333333,0.18181818181818182,0.42323962,0.4635212,-0.04028158000000004
BGD,2015,0.9455666666666667,0.21428571428571427,0.4635212,0.47685167,-0.013330469999999983
BGD,2016,0.89705,0.08695652173913043,0.47685167,0.49897504,-0.022123369999999976
BGD,2017,0.614025,0.15384615384615385,0.49897504,0.5039817,-0.005006659999999996
BGD,2018,0.7109000000000001,0.08,0.5039817,0.553767,-0.04978530000000003
BGD,2019,0.652925,0.14814814814814814,0.553767,0.5424967,0.011270299999999955
BGD,2020,-0.06155000000000005,0.05714285714285714,0.5424967,0.5501772,-0.007680499999999979
BGD,2021,0.030333333333333323,0.09375,0.5501772,0.021526476,0.528650724
BIH,2021,0.491225,0.18181818181818182,4.1475167,0.035083577,4.112433123
BLZ,2014,0.6907333333333333,0.10344827586206896,1.3310666,1.7816852,-0.4506186000000001
BLZ,2015,0.09859999999999998,0.25,1.7816852,1.6957098,0.08597540000000015
BLZ,2016,,0.0,1.6957098,1.6427774,0.05293239999999999
BLZ,2017,0.9313,0.04,1.6427774,1.582303,0.06047439999999993
BLZ,2018,0.6654,0.05,1.582303,1.8173902,-0.23508719999999994
BLZ,2019,,0.0,1.8173902,1.5564086,0.26098160000000004
BLZ,2020,0.4005714285714285,0.1320754716981132,1.5564086,1.7231431,-0.1667345
BLZ,2021,-0.8288,0.05,1.7231431,0.050984528,1.6721585719999998
BOL,2013,,0.0,1.7675234,1.8938966,-0.12637319999999996
BOL,2014,0.15534000000000003,0.18518518518518517,1.8938966,1.9154216,-0.021525000000000016
BOL,2015,0.7301000000000001,0.08108108108108109,1.9154216,2.0139298,-0.09850820000000016
BOL,2016,-0.19855,0.11764705882352941,2.0139298,2.0531883,-0.03925849999999986
BOL,2017,0.009740000000000016,0.20833333333333334,2.0531883,2.050414,0.0027743000000000073
BOL,2018,0.05779999999999996,0.11764705882352941,2.050414,1.973223,0.07719100000000001
BOL,2019,-0.50975,0.2,1.973223,1.7650218,0.20820119999999998
BOL,2020,,0.0,1.7650218,1.9306858,-0.16566400000000003
BOL,2021,0.0004499999999999689,0.17142857142857143,1.9306858,12.578107,-10.6474212
BRA,2013,0.022875000000000006,0.13333333333333333,2.639368,2.7420719,-0.10270389999999985
BRA,2014,0.7078599999999999,0.1388888888888889,2.7420719,2.5798414,0.16223050000000017
BRA,2015,0.33342499999999997,0.32,2.5798414,2.382041,0.19780039999999977
BRA,2016,0.9508,0.05,2.382041,2.3856156,-0.0035745999999998723
BRA,2017,0.8271,0.037037037037037035,2.3856156,2.2701142,0.11550139999999987
BRA,2018,0.8777,0.03225806451612903,2.2701142,2.243357,0.026757200000000037
BRA,2019,0.5524,0.05263157894736842,2.243357,2.074642,0.16871500000000017
BRA,2020,0.14557000000000003,0.18518518518518517,2.074642,2.281014,-0.206372
BRA,2021,0.176875,0.13333333333333333,2.281014,0.46250945,1.8185045499999999
BTN,2013,0.6170571428571429,0.3333333333333333,1.169958,1.2880635,-0.11810549999999997
BTN,2014,,0.0,1.2880635,1.298345,-0.010281500000000054
BTN,2015,0.8202499999999999,0.25,1.298345,1.5373211,-0.2389760999999999
BTN,2016,0.2229,0.16666666666666666,1.5373211,1.6389021,-0.10158099999999992
BTN,2017,-0.1406,0.4,1.6389021,1.770597,-0.13169490000000006
BTN,2018,-0.4653666666666667,0.2,1.770597,1.8855052,-0.11490820000000013
BTN,2019,0.8381,0.09090909090909091,1.8855052,1.9413201,-0.05581489999999989
BTN,2020,0.49243333333333333,0.057692307692307696,1.9413201,1.9576669,-0.016346799999999995
BTN,2021,0.4356,0.07575757575757576,1.9576669,0.0014162827,1.9562506173
BWA,2013,,0.0,2.5540493,3.0305324,-0.4764830999999998
BWA,2014,0.638575,0.16666666666666666,3.0305324,2.351754,0.6787783999999997
BWA,2015,0.18971666666666667,0.20689655172413793,2.351754,2.6985843,-0.3468302999999997
BWA,2016,0.3612,0.058823529411764705,2.6985843,2.9466195,-0.24803520000000034
BWA,2017,0.469275,0.14814814814814814,2.9466195,3.0612,-0.11458049999999975
BWA,2018,0.60605,0.3076923076923077,3.0612,2.7131457,0.3480542999999998
BWA,2019,0.9180999999999999,0.14814814814814814,2.7131457,2.4578147,0.255331
BWA,2020,0.17826666666666666,0.12,2.4578147,2.5111492,-0.05333450000000006
BWA,2021,-0.35714999999999997,0.2857142857142857,2.5111492,0.11390498,2.39724422
CAF,2013,,0.0,0.024414271,0.025960153,-0.0015458819999999984
CAF,2014,0.0,0.0625,0.025960153,0.037253227,-0.011293074
CAF,2015,-0.019000000000000017,0.07142857142857142,0.037253227,0.040344343,-0.003091115999999998
CAF,2016,0.368575,0.13793103448275862,0.040344343,0.043263398,-0.0029190550000000037
CAF,2017,0.85285,0.07407407407407407,0.043263398,0.043149922,0.00011347600000000124
CAF,2018,0.9668,0.047619047619047616,0.043149922,0.04360792,-0.0004579980000000011
CAF,2019,0.6429,0.1111111111111111,0.04360792,0.040097516,0.0035104040000000017
CAF,2020,,0.0,0.040097516,0.041650932,-0.001553416000000002
CAF,2021,0.73615,0.125,0.041650932,0.020963518,0.020687414
CHE,2014,,0.0,4.7917233,4.676776,0.11494729999999986
